,mse,NLL,eps,c,model_type
"(0.2, 1e-05, 'benchmark')",0.06416005,34.440475,0.2,1e-05,benchmark
"(0.2, 1e-05, 'proposed')",0.62259907,7.3813033,0.2,1e-05,proposed
"(0.2, 3.5938136638046256e-05, 'benchmark')",0.07756098,33.552727,0.2,3.5938136638046256e-05,benchmark
"(0.2, 3.5938136638046256e-05, 'proposed')",0.5437769,7.3101482,0.2,3.5938136638046256e-05,proposed
"(0.2, 0.0001291549665014884, 'benchmark')",0.07389956,34.52657,0.2,0.0001291549665014884,benchmark
"(0.2, 0.0001291549665014884, 'proposed')",0.54092884,7.2584996,0.2,0.0001291549665014884,proposed
"(0.2, 0.0004641588833612782, 'benchmark')",0.100209855,33.602745,0.2,0.0004641588833612782,benchmark
"(0.2, 0.0004641588833612782, 'proposed')",1.2836572,7.2615542,0.2,0.0004641588833612782,proposed
"(0.2, 0.0016681005372000592, 'benchmark')",0.12800817,27.613268,0.2,0.0016681005372000592,benchmark
"(0.2, 0.0016681005372000592, 'proposed')",0.65511143,7.2627425,0.2,0.0016681005372000592,proposed
"(0.2, 0.005994842503189409, 'benchmark')",0.09558731,24.790627,0.2,0.005994842503189409,benchmark
"(0.2, 0.005994842503189409, 'proposed')",1.4962829,7.390838,0.2,0.005994842503189409,proposed
"(0.2, 0.021544346900318846, 'benchmark')",0.0835647,19.865757,0.2,0.021544346900318846,benchmark
"(0.2, 0.021544346900318846, 'proposed')",0.5777196,7.3446555,0.2,0.021544346900318846,proposed
"(0.2, 0.07742636826811278, 'benchmark')",0.07631101,14.217072,0.2,0.07742636826811278,benchmark
"(0.2, 0.07742636826811278, 'proposed')",0.57918864,7.2653403,0.2,0.07742636826811278,proposed
"(0.2, 0.2782559402207126, 'benchmark')",0.11892601,12.244906,0.2,0.2782559402207126,benchmark
"(0.2, 0.2782559402207126, 'proposed')",0.8100135,7.3640604,0.2,0.2782559402207126,proposed
"(0.2, 1.0, 'benchmark')",0.07574773,9.504815,0.2,1.0,benchmark
"(0.2, 1.0, 'proposed')",1.0696167,7.4399033,0.2,1.0,proposed
"(0.525, 1e-05, 'benchmark')",0.18463774,26.172125,0.525,1e-05,benchmark
"(0.525, 1e-05, 'proposed')",11.211918,4.956945,0.525,1e-05,proposed
"(0.525, 3.5938136638046256e-05, 'benchmark')",0.23316354,24.35883,0.525,3.5938136638046256e-05,benchmark
"(0.525, 3.5938136638046256e-05, 'proposed')",10.465451,4.892364,0.525,3.5938136638046256e-05,proposed
"(0.525, 0.0001291549665014884, 'benchmark')",0.2141884,25.234829,0.525,0.0001291549665014884,benchmark
"(0.525, 0.0001291549665014884, 'proposed')",10.218626,4.9143147,0.525,0.0001291549665014884,proposed
"(0.525, 0.0004641588833612782, 'benchmark')",0.2548876,22.440243,0.525,0.0004641588833612782,benchmark
"(0.525, 0.0004641588833612782, 'proposed')",8.533594,4.9055953,0.525,0.0004641588833612782,proposed
"(0.525, 0.0016681005372000592, 'benchmark')",0.21406405,20.919333,0.525,0.0016681005372000592,benchmark
"(0.525, 0.0016681005372000592, 'proposed')",11.015256,4.877249,0.525,0.0016681005372000592,proposed
"(0.525, 0.005994842503189409, 'benchmark')",0.2524725,15.66248,0.525,0.005994842503189409,benchmark
"(0.525, 0.005994842503189409, 'proposed')",10.503389,4.868636,0.525,0.005994842503189409,proposed
"(0.525, 0.021544346900318846, 'benchmark')",0.15495735,12.965533,0.525,0.021544346900318846,benchmark
"(0.525, 0.021544346900318846, 'proposed')",7.5312386,4.8909516,0.525,0.021544346900318846,proposed
"(0.525, 0.07742636826811278, 'benchmark')",0.20444183,10.359893,0.525,0.07742636826811278,benchmark
"(0.525, 0.07742636826811278, 'proposed')",7.3736672,4.985559,0.525,0.07742636826811278,proposed
"(0.525, 0.2782559402207126, 'benchmark')",0.21595618,8.112852,0.525,0.2782559402207126,benchmark
